Location,Area_sqft,BHK,Bathrooms,Furnishing,Property_Type,Facing,City_Zone,Parking_Type,Transaction_Type,Property_Age_Years,Floor,Distance_from_City_Center_km,Price
Kolkata,418,5,3,Unfurnished,Villa,West,Central,Open,Resale,6,2,7.08,6031714.0
Chennai,3758,1,1,Fully Furnished,Villa,West,Outskirts,None,New,20,5,29.7,37465364.0
Hyderabad,675,3,3,Semi-Furnished,Villa,East,Outskirts,None,New,12,3,20.75,7104488.0
Kolkata,4478,1,1,Unfurnished,Villa,West,Suburb,Covered,New,33,1,14.23,37523605.0
Delhi,3345,1,1,Unfurnished,Apartment,East,Outskirts,None,New,21,6,1.78,46008922.0
Hyderabad,764,3,3,Fully Furnished,Villa,West,Outskirts,None,New,33,18,15.45,6711333.0
Hyderabad,2373,4,3,Semi-Furnished,Villa,North,Outskirts,Open,New,24,19,6.94,22006334.0
Kolkata,1194,2,3,Unfurnished,Apartment,East,Outskirts,Covered,Resale,11,11,6.84,10525439.0
Mumbai,989,5,4,Unfurnished,Independent House,South,Suburb,Covered,New,17,16,34.08,16849588.0
Delhi,1140,3,4,Fully Furnished,Villa,South,Central,Covered,Resale,6,21,26.52,17731161.0
Kolkata,2594,4,4,Fully Furnished,Independent House,West,Outskirts,Covered,Resale,9,23,9.47,23853183.0
Delhi,1069,3,2,Semi-Furnished,Apartment,East,Central,Covered,Resale,34,28,32.93,14487370.0
Delhi,1837,2,2,Semi-Furnished,Villa,West,Suburb,Open,New,23,12,8.52,25826762.0
Hyderabad,1255,3,4,Fully Furnished,Independent House,North,Suburb,Covered,New,16,26,4.29,12814029.0
Chennai,2777,3,3,Semi-Furnished,Independent House,West,Central,Open,Resale,15,3,13.84,28903151.0
Delhi,4433,4,4,Fully Furnished,Apartment,North,Central,None,Resale,34,11,31.31,61851474.0
Pune,2293,5,2,Fully Furnished,Apartment,South,Outskirts,Open,Resale,3,21,21.49,24633125.0
Hyderabad,1586,5,1,Unfurnished,Independent House,East,Suburb,Open,New,29,19,28.43,13622644.0
Mumbai,2242,4,4,Semi-Furnished,Villa,South,Central,Open,New,8,0,4.74,38534556.0
Chennai,726,4,1,Unfurnished,Villa,West,Suburb,Covered,Resale,17,28,12.84,8161094.0
Pune,3626,1,1,Fully Furnished,Apartment,West,Suburb,None,Resale,11,14,28.0,36998128.0
Pune,2800,1,4,Fully Furnished,Villa,South,Outskirts,Open,New,16,4,23.31,29881100.0
Mumbai,4415,2,1,Semi-Furnished,Apartment,West,Outskirts,Covered,Resale,7,21,14.19,70565471.0
Chennai,450,1,1,Semi-Furnished,Apartment,North,Outskirts,Covered,Resale,12,25,28.27,2948947.0
Hyderabad,1868,1,4,Fully Furnished,Apartment,East,Suburb,Covered,Resale,21,24,27.99,15774404.0
Bangalore,1409,3,4,Fully Furnished,Villa,West,Outskirts,None,Resale,3,16,15.8,19238925.0
